Time,Temp,DHT,TMP,Humidity
6011,22.03,21.00,23.07,17.00
12022,23.53,24.00,23.07,29.00
18033,22.02,21.00,23.04,17.00
24043,21.81,21.00,22.63,17.00
30054,22.02,21.00,23.03,17.00
36068,22.17,21.00,23.35,17.00
42078,22.04,21.00,23.09,17.00
48091,22.00,21.00,23.00,17.00
54105,22.01,21.00,23.01,17.00
60119,22.09,21.00,23.17,17.00
66131,22.04,21.00,23.09,17.00
72141,22.20,21.00,23.40,17.00
78152,22.03,21.00,23.05,17.00
84163,23.57,24.00,23.14,29.00
90175,22.06,21.00,23.12,17.00
96186,21.94,21.00,22.87,17.00
102197,22.08,21.00,23.17,17.00
108209,23.42,24.00,22.84,29.00
114222,23.41,24.00,22.81,29.00
120235,23.72,24.00,23.44,29.00
126247,22.02,21.00,23.04,17.00
132259,23.38,24.00,22.77,29.00
138269,22.07,21.00,23.15,17.00
144280,21.90,21.00,22.80,17.00
150290,21.87,21.00,22.75,17.00
156302,21.96,21.00,22.91,17.00
162315,21.96,21.00,22.93,17.00
168327,21.98,21.00,22.95,17.00
174339,21.98,21.00,22.95,17.00
